rank,content_id,client_id,model_score,suggested_action,reason_codes,stale_but_visible,model_decline_risk_high,ctr_underperforming_for_position,recent_click_drop,syndicated_not_owned,too_new_unstable,needs_verification_before_trusting,content_type,main_intent,impressions_90d,clicks_90d,avg_position,ctr,days_since_last_update,content_age_days,trend_direction
1,content_4560b0a818ab,client_19581e27de,1.0,investigate_quiet_risk,model_decline_risk_high|recent_click_drop,False,True,False,True,False,False,False,keyword article,commercial,4238,9,7.9,0.21,22,421,stable
2,content_2dba2b1f9536,client_6208ef0f77,0.9999999999999998,refresh_priority_review,stale_but_visible|model_decline_risk_high|recent_click_drop,True,True,False,True,False,False,False,keyword article,informational,443434,910,27.9,0.21,104,299,stable
3,content_a22b7f6c73c5,client_7f2253d7e2,0.9999999999999922,investigate_quiet_risk,model_decline_risk_high|recent_click_drop,False,True,False,True,False,False,False,keyword article,commercial,28192,1347,9.1,4.78,20,132,down
4,content_ea60515fd480,client_7f2253d7e2,0.9999999999996168,investigate_quiet_risk,model_decline_risk_high|recent_click_drop,False,True,False,True,False,False,False,keyword article,informational,148515,1205,5.0,0.81,20,224,down
5,content_07e0b9af8b1a,client_b4944c6ff0,0.9999999998737656,investigate_quiet_risk,model_decline_risk_high|recent_click_drop,False,True,False,True,False,False,False,keyword article,transactional,214816,4178,3.3,1.94,8,105,down
6,content_0082e139827f,client_6208ef0f77,0.9999999998313351,refresh_priority_review,stale_but_visible|model_decline_risk_high|recent_click_drop,True,True,False,True,False,False,False,keyword article,commercial,8613,38,11.6,0.44,104,236,down
7,content_813e88069237,client_6208ef0f77,0.9999999961690913,refresh_priority_review,stale_but_visible|model_decline_risk_high,True,True,False,False,False,False,False,keyword article,commercial,233561,129,26.2,0.06,104,153,down
8,content_a965a1fc5544,client_6208ef0f77,0.9999999949851073,refresh_priority_review,stale_but_visible|model_decline_risk_high|recent_click_drop,True,True,False,True,False,False,False,keyword article,transactional,113571,724,12.7,0.64,104,236,stable
9,content_aedb33fc5592,client_6208ef0f77,0.999999994891523,refresh_priority_review,stale_but_visible|model_decline_risk_high,True,True,False,False,False,False,False,keyword article,transactional,7549,11,20.0,0.15,104,211,down
10,content_ec66c58d9826,client_7f2253d7e2,0.9999999745795674,investigate_quiet_risk,model_decline_risk_high|recent_click_drop,False,True,False,True,False,False,False,keyword article,informational,67880,448,4.8,0.66,20,224,down
11,content_763a8c27d0fd,client_6208ef0f77,0.9999999610129127,refresh_priority_review,stale_but_visible|model_decline_risk_high,True,True,False,False,False,False,False,keyword article,informational,22541,12,40.4,0.05,104,229,down
12,content_fb95edac0fc3,client_6208ef0f77,0.9999982318212931,refresh_priority_review,stale_but_visible|model_decline_risk_high,True,True,False,False,False,False,False,keyword article,informational,106341,129,22.8,0.12,104,223,stable
13,content_ff67adc622e5,client_6208ef0f77,0.999997058846205,refresh_priority_review,stale_but_visible|model_decline_risk_high,True,True,False,False,False,False,False,keyword article,commercial,71282,36,33.6,0.05,104,139,down
14,content_035aa1e4a834,client_6208ef0f77,0.9999886714415881,refresh_priority_review,stale_but_visible|model_decline_risk_high,True,True,False,False,False,False,False,keyword article,informational,4448,7,16.2,0.16,104,236,up
15,content_50426bec207f,client_6208ef0f77,0.9999877289865903,refresh_priority_review,stale_but_visible|model_decline_risk_high|recent_click_drop,True,True,False,True,False,False,False,keyword article,informational,114048,815,11.5,0.71,104,125,down
16,content_3a426ee4383c,client_19581e27de,0.999984947735415,refresh_priority_review,stale_but_visible|model_decline_risk_high|recent_click_drop,True,True,False,True,False,False,False,keyword article,transactional,52303,501,3.5,0.96,104,362,down
17,content_3ee3863d0542,client_6208ef0f77,0.9999791604259608,refresh_priority_review,stale_but_visible|model_decline_risk_high|recent_click_drop,True,True,False,True,False,False,False,keyword article,informational,17590,75,26.2,0.43,104,216,stable
18,content_bdd7c88a58ed,client_4e07408562,0.9999486934201085,investigate_quiet_risk,model_decline_risk_high|recent_click_drop,False,True,False,True,False,False,False,keyword article,informational,64718,544,3.1,0.84,14,421,down
19,content_4090f0acd977,client_4e07408562,0.9999463045227301,investigate_quiet_risk,model_decline_risk_high|recent_click_drop,False,True,False,True,False,False,False,keyword article,informational,46560,491,6.5,1.05,25,421,down
20,content_40fb6f005d61,client_6208ef0f77,0.9999235502179478,refresh_priority_review,stale_but_visible|model_decline_risk_high|recent_click_drop,True,True,False,True,False,False,False,keyword article,informational,151800,187,26.0,0.12,104,229,down
21,content_23bae3425a1c,client_6208ef0f77,0.9999234729602567,refresh_priority_review,stale_but_visible|model_decline_risk_high|recent_click_drop,True,True,False,True,False,False,False,keyword article,informational,15239,93,12.7,0.61,104,286,down
22,content_6e0e17a19c45,client_6208ef0f77,0.9999213705604661,refresh_priority_review,stale_but_visible|model_decline_risk_high|recent_click_drop,True,True,False,True,False,False,False,keyword article,transactional,2417,8,16.7,0.33,104,300,down
23,content_69fad7e6c50c,client_7f2253d7e2,0.9999122939199606,refresh_priority_review,stale_but_visible|model_decline_risk_high,True,True,False,False,False,False,False,keyword article,informational,28000,369,4.7,1.32,106,106,down
24,content_3870bd09524b,client_6208ef0f77,0.999890504775338,refresh_priority_review,stale_but_visible|model_decline_risk_high|recent_click_drop,True,True,False,True,False,False,False,keyword article,informational,30877,246,16.2,0.8,104,144,down
25,content_d7d06a893dcf,client_6208ef0f77,0.9998697919025834,refresh_priority_review,stale_but_visible|model_decline_risk_high,True,True,False,False,False,False,False,keyword article,informational,7228,5,35.8,0.07,104,216,down
26,content_007d1f134801,client_4e07408562,0.9998535391886733,investigate_quiet_risk,model_decline_risk_high|recent_click_drop,False,True,False,True,False,False,False,keyword article,informational,31069,281,6.4,0.9,25,326,down
